Results of consistencyLeiden4 on graphs generated using TestCreationDestruction
n_graphs, step_size, k_gen, density, seed, k_cluster, modularity, consistency, iterations
32, 2, 7, 0.5, 1, 0, 0.3405826990155117, 0.7751103314706631, 1
32, 2, 7, 0.5, 2, 0, 0.34424581863217407, 0.7624261811023623, 1
32, 2, 7, 0.5, 0, 0, 0.345259917320148, 0.7556951676403355, 1
32, 2, 7, 0.5, 2, 0, 0.3544342478349679, 0.7588582677165355, 2
32, 2, 7, 0.5, 1, 0, 0.3507586426207674, 0.7689349441198882, 2
32, 2, 7, 0.5, 0, 0, 0.35665627039700726, 0.7530043497586996, 2
32, 2, 7, 0.5, 2, 0, 0.3566736610813457, 0.7557586677673357, 3
32, 2, 7, 0.5, 1, 0, 0.3531948978090094, 0.7692564135128271, 3
32, 2, 7, 0.5, 0, 0, 0.35929320101060197, 0.7504524384048767, 3
32, 2, 7, 0.5, 2, 0, 0.3582724553651526, 0.7522383794767589, 4
32, 2, 7, 0.5, 1, 0, 0.35431602179007315, 0.7662401574803147, 4
32, 2, 7, 0.5, 0, 0, 0.3605178858446489, 0.7511112522225045, 4
32, 2, 7, 0.5, 2, 0, 0.35898574863164107, 0.7512858775717555, 5
32, 2, 7, 0.5, 1, 0, 0.3553892504881004, 0.7645018415036829, 5
32, 2, 7, 0.5, 0, 0, 0.3610050940248823, 0.7515636906273814, 5
32, 2, 7, 0.5, 2, 0, 0.35951273772323333, 0.7507104076708153, 6
32, 2, 7, 0.5, 1, 0, 0.35583138388115954, 0.7631921513843026, 6
32, 2, 7, 0.5, 0, 0, 0.3614165027748449, 0.7497896558293117, 6
32, 2, 7, 0.5, 2, 0, 0.35997563133367555, 0.7478290894081788, 7
32, 2, 7, 0.5, 0, 0, 0.36181778073246296, 0.7510239395478792, 7
32, 2, 7, 0.5, 1, 0, 0.3562044531673093, 0.7617514922529843, 7
32, 2, 7, 0.5, 2, 0, 0.36032745184061765, 0.7480195897891796, 8
32, 2, 7, 0.5, 0, 0, 0.36202005799825765, 0.7521272542545087, 8
32, 2, 7, 0.5, 1, 0, 0.3566298015208354, 0.7622991808483617, 8
32, 2, 7, 0.5, 2, 5.29449005047003, 0.16288678756312475, 0.9806126174752353, 1
32, 2, 7, 0.5, 1, 5.29449005047003, 0.16119079847868123, 0.9806403987807978, 1
32, 2, 7, 0.5, 0, 5.29449005047003, 0.16499063294583846, 0.9800371475742956, 1
32, 2, 7, 0.5, 1, 3.7936678946831774, 0.18415536142965805, 0.9750960439420877, 1
32, 2, 7, 0.5, 2, 3.7936678946831774, 0.1873300033723109, 0.9748420434340865, 1
32, 2, 7, 0.5, 0, 3.7936678946831774, 0.19048652586997242, 0.9740443230886456, 1
32, 2, 7, 0.5, 2, 2.718281828459045, 0.21478738166562186, 0.9675554038608077, 1
32, 2, 7, 0.5, 0, 2.718281828459045, 0.21541508463815112, 0.9672934658369318, 1
32, 2, 7, 0.5, 1, 2.718281828459045, 0.21272344848659527, 0.9676228727457455, 1
32, 2, 7, 0.5, 2, 5.29449005047003, 0.16271903713989933, 0.9809182118364241, 2
32, 2, 7, 0.5, 1, 5.29449005047003, 0.1616915898588636, 0.9807991490982985, 2
32, 2, 7, 0.5, 0, 5.29449005047003, 0.1663148845759914, 0.9800927101854208, 2
32, 2, 7, 0.5, 2, 1.9477340410546757, 0.2469738858645273, 0.9545220027940055, 1
32, 2, 7, 0.5, 1, 1.9477340410546757, 0.2417615898876227, 0.9557523177546353, 1
32, 2, 7, 0.5, 0, 1.9477340410546757, 0.24498517440739626, 0.9553713169926337, 1
32, 2, 7, 0.5, 2, 1.3956124250860895, 0.27147871942649066, 0.9394169100838201, 1
32, 2, 7, 0.5, 1, 1.3956124250860895, 0.26724365041291925, 0.941556070612141, 1
32, 2, 7, 0.5, 0, 1.3956124250860895, 0.26961750642389615, 0.9407543815087628, 1
32, 2, 7, 0.5, 2, 3.7936678946831774, 0.18978251221983364, 0.974607886715773, 2
32, 2, 7, 0.5, 0, 3.7936678946831774, 0.19225798843972075, 0.9740403543307081, 2
32, 2, 7, 0.5, 1, 3.7936678946831774, 0.18666101510602442, 0.9750960439420877, 2
32, 2, 7, 0.5, 2, 5.29449005047003, 0.16342841908398956, 0.9808705867411739, 3
32, 2, 7, 0.5, 2, 1.0, 0.2904368840989255, 0.9250182562865126, 1
32, 2, 7, 0.5, 1, 1.0, 0.2842230718804884, 0.9277527305054609, 1
32, 2, 7, 0.5, 0, 5.29449005047003, 0.16679251743374468, 0.9800887414274833, 3
32, 2, 7, 0.5, 1, 5.29449005047003, 0.16214619304824957, 0.9808229616459235, 3
32, 2, 7, 0.5, 0, 1.0, 0.29015449702389345, 0.9245975679451356, 1
32, 2, 7, 0.5, 2, 0.7165313105737893, 0.3057966407091585, 0.9076787528575058, 1
32, 2, 7, 0.5, 1, 0.7165313105737893, 0.30258439457968156, 0.9086034734569469, 1
32, 2, 7, 0.5, 2, 2.718281828459045, 0.2191089435419099, 0.9671148717297436, 2
32, 2, 7, 0.5, 0, 0.7165313105737893, 0.3041416217262749, 0.9076231902463803, 1
32, 2, 7, 0.5, 1, 2.718281828459045, 0.21734688942856698, 0.9670474028448058, 2
32, 2, 7, 0.5, 0, 2.718281828459045, 0.22009092249379703, 0.9665830581661166, 2
32, 2, 7, 0.5, 2, 0.36787944117144233, 0.3264544947627845, 0.8708248666497334, 1
32, 2, 7, 0.5, 2, 0.513417119032592, 0.3170083357554552, 0.8912361887223775, 1
32, 2, 7, 0.5, 0, 0.513417119032592, 0.3164427085413048, 0.8898510922021844, 1
32, 2, 7, 0.5, 1, 0.513417119032592, 0.3156716293075509, 0.8869062738125476, 1
32, 2, 7, 0.5, 2, 0.26359713811572677, 0.33175424829950106, 0.8545450215900432, 1
32, 2, 7, 0.5, 0, 0.36787944117144233, 0.3270858573078758, 0.8683324866649732, 1
32, 2, 7, 0.5, 2, 5.29449005047003, 0.16380058429406358, 0.9808943992887991, 4
32, 2, 7, 0.5, 1, 0.36787944117144233, 0.32107590955306564, 0.8706145224790448, 1
32, 2, 7, 0.5, 2, 0.18887560283756183, 0.3388229203286528, 0.8308316929133857, 1
32, 2, 7, 0.5, 1, 0.26359713811572677, 0.32944188582418926, 0.8528027368554736, 1
32, 2, 7, 0.5, 2, 0.1353352832366127, 0.34118371487217714, 0.8173974472948947, 1
32, 2, 7, 0.5, 0, 5.29449005047003, 0.16643097604590457, 0.9801958978917962, 4
32, 2, 7, 0.5, 0, 0.26359713811572677, 0.3323853634823766, 0.8522232981965964, 1
32, 2, 7, 0.5, 0, 0.18887560283756183, 0.3393468048066716, 0.8294426276352551, 1
32, 2, 7, 0.5, 1, 5.29449005047003, 0.16219763971984136, 0.9808507429514862, 4
32, 2, 7, 0.5, 2, 0.035673993347252395, 0.3433356263583256, 0.7778249618999239, 1
32, 2, 7, 0.5, 2, 1.9477340410546757, 0.25242706572732715, 0.954188627127254, 2
32, 2, 7, 0.5, 1, 3.7936678946831774, 0.18752770071393493, 0.9750325438150874, 3
32, 2, 7, 0.5, 0, 3.7936678946831774, 0.1922786949285852, 0.9742268859537716, 3
32, 2, 7, 0.5, 2, 3.7936678946831774, 0.19032205336297559, 0.9745880429260856, 3
32, 2, 7, 0.5, 2, 0.06948345122280154, 0.3424079202855112, 0.7886001397002794, 1
32, 2, 7, 0.5, 2, 0.049787068367863944, 0.3428953610660625, 0.7808253429006856, 1
32, 2, 7, 0.5, 1, 0.18887560283756183, 0.3335311625436413, 0.835387827025654, 1
32, 2, 7, 0.5, 1, 1.9477340410546757, 0.24984485831332387, 0.954787909575819, 2
32, 2, 7, 0.5, 0, 0.1353352832366127, 0.3422774111968079, 0.8109005905511811, 1
32, 2, 7, 0.5, 2, 0.09697196786440505, 0.34244845342996083, 0.8022447294894588, 1
32, 2, 7, 0.5, 0, 0.049787068367863944, 0.3439854388624537, 0.7832343789687579, 1
32, 2, 7, 0.5, 0, 0.09697196786440505, 0.3437572413799677, 0.801506540513081, 1
32, 2, 7, 0.5, 0, 1.9477340410546757, 0.25428300744934346, 0.9533829692659385, 2
32, 2, 7, 0.5, 0, 0.035673993347252395, 0.34484354986067633, 0.7770470853441708, 1
32, 2, 7, 0.5, 1, 0.09697196786440505, 0.33786231810955514, 0.8073485521971046, 1
32, 2, 7, 0.5, 1, 0.1353352832366127, 0.3378434853033848, 0.8178538544577091, 1
32, 2, 7, 0.5, 0, 0.06948345122280154, 0.34635324936099565, 0.7908028003556006, 1
32, 2, 7, 0.5, 1, 0.049787068367863944, 0.33839187616082744, 0.7961368110236221, 1
32, 2, 7, 0.5, 1, 0.035673993347252395, 0.3398494912185206, 0.7770629603759208, 1
32, 2, 7, 0.5, 1, 0.06948345122280154, 0.33888162297924507, 0.7953986220472442, 1
32, 2, 7, 0.5, 2, 5.29449005047003, 0.16374677309237545, 0.9809063055626117, 5
32, 2, 7, 0.5, 2, 2.718281828459045, 0.21981435891360107, 0.9671505905511811, 3
32, 2, 7, 0.5, 0, 5.29449005047003, 0.16647812663556313, 0.9802197104394212, 5
32, 2, 7, 0.5, 1, 2.718281828459045, 0.21844516980628984, 0.9670632778765559, 3
32, 2, 7, 0.5, 2, 1.3956124250860895, 0.2810492818700359, 0.9376627190754381, 2
32, 2, 7, 0.5, 0, 2.718281828459045, 0.22048217180977098, 0.9666465582931167, 3
32, 2, 7, 0.5, 1, 5.29449005047003, 0.16220749725422556, 0.9808745554991113, 5
32, 2, 7, 0.5, 1, 1.3956124250860895, 0.2777294405154336, 0.9393415036830072, 2
32, 2, 7, 0.5, 0, 1.3956124250860895, 0.27886667298252305, 0.9387422212344422, 2
32, 2, 7, 0.5, 1, 3.7936678946831774, 0.188061627548052, 0.9750682626365251, 4
32, 2, 7, 0.5, 2, 3.7936678946831774, 0.19032213816289337, 0.9746039179578356, 4
32, 2, 7, 0.5, 2, 1.0, 0.29848909450787703, 0.9234942532385065, 2
32, 2, 7, 0.5, 0, 3.7936678946831774, 0.19257809389334052, 0.9741792608585212, 4
32, 2, 7, 0.5, 2, 5.29449005047003, 0.16374677309237545, 0.9809063055626117, 6
32, 2, 7, 0.5, 1, 1.0, 0.29370276886331126, 0.9257524765049528, 2
32, 2, 7, 0.5, 0, 1.0, 0.2984736243740507, 0.9229029083058163, 2
32, 2, 7, 0.5, 2, 0.7165313105737893, 0.314075449895396, 0.9061309372618748, 2
32, 2, 7, 0.5, 0, 5.29449005047003, 0.1664818194543163, 0.9802197104394212, 6
32, 2, 7, 0.5, 2, 1.9477340410546757, 0.2539390360251609, 0.9539981267462533, 3
32, 2, 7, 0.5, 1, 5.29449005047003, 0.16232289385260046, 0.9808586804673612, 6
32, 2, 7, 0.5, 1, 0.7165313105737893, 0.3128275156217891, 0.9050474663449327, 2
32, 2, 7, 0.5, 1, 1.9477340410546757, 0.25138140301220746, 0.9545021590043179, 3
32, 2, 7, 0.5, 0, 0.7165313105737893, 0.3146892275428678, 0.9044045275590552, 2
32, 2, 7, 0.5, 0, 1.9477340410546757, 0.2559087478842025, 0.953418688087376, 3
32, 2, 7, 0.5, 0, 0.513417119032592, 0.32821160146376893, 0.8842432372364746, 2
32, 2, 7, 0.5, 2, 2.718281828459045, 0.22047469163787708, 0.9670553403606809, 4
32, 2, 7, 0.5, 2, 0.36787944117144233, 0.33563112788125743, 0.8664870142240285, 2
32, 2, 7, 0.5, 2, 0.513417119032592, 0.3260795938255958, 0.8879421196342392, 2
32, 2, 7, 0.5, 2, 0.26359713811572677, 0.341255524851243, 0.848464884429769, 2
32, 2, 7, 0.5, 1, 2.718281828459045, 0.21927536362520042, 0.9669204025908054, 4
32, 2, 7, 0.5, 1, 0.513417119032592, 0.3258166579298589, 0.8823302959105919, 2
32, 2, 7, 0.5, 0, 0.36787944117144233, 0.33786187922786615, 0.862720662941326, 2
32, 2, 7, 0.5, 2, 0.1353352832366127, 0.3521830981104276, 0.8107180276860553, 2
32, 2, 7, 0.5, 0, 2.718281828459045, 0.22101499549992054, 0.9665513081026164, 4
32, 2, 7, 0.5, 2, 0.035673993347252395, 0.3525745003368495, 0.7714868554737109, 2
32, 2, 7, 0.5, 2, 5.29449005047003, 0.16374677309237545, 0.9809063055626117, 7
32, 2, 7, 0.5, 0, 0.18887560283756183, 0.3488845372647679, 0.8266883096266193, 2
32, 2, 7, 0.5, 2, 0.18887560283756183, 0.34835906371831105, 0.8266327470154939, 2
32, 2, 7, 0.5, 1, 0.26359713811572677, 0.3400202545206934, 0.8496078867157735, 2
32, 2, 7, 0.5, 2, 0.06948345122280154, 0.35109422891326764, 0.7848536322072642, 2
32, 2, 7, 0.5, 1, 3.7936678946831774, 0.1881916448203023, 0.9750603251206501, 5
32, 2, 7, 0.5, 0, 0.26359713811572677, 0.34268347210829353, 0.8476116014732028, 2
32, 2, 7, 0.5, 2, 0.049787068367863944, 0.3524673889192824, 0.7798768097536194, 2
32, 2, 7, 0.5, 1, 0.36787944117144233, 0.3326426392881182, 0.8663560452120903, 2
32, 2, 7, 0.5, 0, 0.1353352832366127, 0.3522128563523336, 0.8107458089916182, 2
32, 2, 7, 0.5, 2, 3.7936678946831774, 0.19064751746501363, 0.9745324803149603, 5
32, 2, 7, 0.5, 2, 0.09697196786440505, 0.35302796893950095, 0.7985855346710693, 2
32, 2, 7, 0.5, 0, 0.049787068367863944, 0.3549390922815016, 0.7790274955549914, 2
32, 2, 7, 0.5, 0, 0.035673993347252395, 0.3563667003162572, 0.7727687642875288, 2
32, 2, 7, 0.5, 0, 0.09697196786440505, 0.35522581528302594, 0.7973036258572518, 2
32, 2, 7, 0.5, 0, 5.29449005047003, 0.1664818194543163, 0.9802197104394212, 7
32, 2, 7, 0.5, 1, 0.18887560283756183, 0.3438319777804264, 0.8324112585725171, 2
32, 2, 7, 0.5, 0, 3.7936678946831774, 0.19283400767439218, 0.9741395732791461, 5
32, 2, 7, 0.5, 1, 5.29449005047003, 0.1623807881822495, 0.9808507429514862, 7
32, 2, 7, 0.5, 0, 0.06948345122280154, 0.3562815853229353, 0.7877706692913388, 2
32, 2, 7, 0.5, 1, 0.049787068367863944, 0.34898242760859405, 0.7918307086614174, 2
32, 2, 7, 0.5, 1, 0.1353352832366127, 0.3481051311880155, 0.8130199072898147, 2
32, 2, 7, 0.5, 1, 0.035673993347252395, 0.3513110954697339, 0.7714908242316485, 2
32, 2, 7, 0.5, 1, 0.09697196786440505, 0.34893022515357286, 0.8045902654305308, 2
32, 2, 7, 0.5, 1, 0.06948345122280154, 0.34963005312269935, 0.7917949898399795, 2
32, 2, 7, 0.5, 2, 1.3956124250860895, 0.282667663421074, 0.9374682499365, 3
32, 2, 7, 0.5, 1, 1.3956124250860895, 0.2793582672927006, 0.9391946596393191, 3
32, 2, 7, 0.5, 0, 1.3956124250860895, 0.28035225311300555, 0.9386945961391922, 3
32, 2, 7, 0.5, 2, 5.29449005047003, 0.16374677309237545, 0.9809063055626117, 8
32, 2, 7, 0.5, 2, 2.718281828459045, 0.22066878220009956, 0.9670394653289308, 5
32, 2, 7, 0.5, 2, 1.9477340410546757, 0.2549276432245756, 0.9537758763017524, 4
32, 2, 7, 0.5, 1, 2.718281828459045, 0.21958296872210906, 0.9668727774955552, 5
32, 2, 7, 0.5, 0, 5.29449005047003, 0.1664818194543163, 0.9802197104394212, 8
32, 2, 7, 0.5, 1, 1.9477340410546757, 0.2517375811713292, 0.9545696278892556, 4
32, 2, 7, 0.5, 1, 3.7936678946831774, 0.18857302473195242, 0.9749809499618998, 6
32, 2, 7, 0.5, 2, 1.0, 0.30031056093978936, 0.9231450025400048, 3
32, 2, 7, 0.5, 1, 5.29449005047003, 0.16232701049229337, 0.9808666179832363, 8
32, 2, 7, 0.5, 0, 2.718281828459045, 0.22114310838574752, 0.9665274955549913, 5
32, 2, 7, 0.5, 0, 1.9477340410546757, 0.2559257943187237, 0.9536687198374395, 4
32, 2, 7, 0.5, 2, 3.7936678946831774, 0.19070743168175489, 0.9745245427990853, 6
32, 2, 7, 0.5, 0, 3.7936678946831774, 0.19288664733321675, 0.9741395732791461, 6
32, 2, 7, 0.5, 1, 1.0, 0.2970248747573375, 0.9243634112268223, 3
32, 2, 7, 0.5, 0, 1.0, 0.3001629476824128, 0.9225973139446276, 3
32, 2, 7, 0.5, 2, 0.7165313105737893, 0.3159735413036757, 0.905702311404623, 3
32, 2, 7, 0.5, 0, 0.7165313105737893, 0.3166219786862218, 0.9038330264160527, 3
32, 2, 7, 0.5, 1, 0.7165313105737893, 0.31465171626431604, 0.9050157162814325, 3
32, 2, 7, 0.5, 0, 0.513417119032592, 0.33135247751070457, 0.8818421386842774, 3
32, 2, 7, 0.5, 2, 0.36787944117144233, 0.3384605249297576, 0.8641771971043942, 3
32, 2, 7, 0.5, 2, 0.035673993347252395, 0.3546676837346832, 0.771649574549149, 3
32, 2, 7, 0.5, 2, 0.26359713811572677, 0.3429404737142921, 0.8475877889255778, 3
32, 2, 7, 0.5, 2, 0.513417119032592, 0.32742924833097875, 0.8882913703327406, 3
32, 2, 7, 0.5, 2, 0.1353352832366127, 0.3546818822232836, 0.8094480251460503, 3
32, 2, 7, 0.5, 0, 0.36787944117144233, 0.3409403045440871, 0.8620221615443233, 3
32, 2, 7, 0.5, 1, 0.513417119032592, 0.32773058118151627, 0.88246126492253, 3
32, 2, 7, 0.5, 2, 0.049787068367863944, 0.35555583132684804, 0.7753603632207264, 3
32, 2, 7, 0.5, 2, 0.06948345122280154, 0.35325331400281035, 0.7820913766827535, 3
32, 2, 7, 0.5, 2, 0.18887560283756183, 0.3502868235266408, 0.8255810261620523, 3
32, 2, 7, 0.5, 0, 0.18887560283756183, 0.3516713539755883, 0.8250373063246128, 3
32, 2, 7, 0.5, 0, 0.049787068367863944, 0.35792219782678036, 0.7785869634239267, 3
32, 2, 7, 0.5, 2, 0.09697196786440505, 0.3548683852700206, 0.7984942532385064, 3
32, 2, 7, 0.5, 0, 0.1353352832366127, 0.354651367183427, 0.8097853695707392, 3
32, 2, 7, 0.5, 2, 2.718281828459045, 0.22078681030542324, 0.9670156527813057, 6
32, 2, 7, 0.5, 0, 0.035673993347252395, 0.3591203196297167, 0.7715503556007114, 3
32, 2, 7, 0.5, 1, 3.7936678946831774, 0.18858017510725966, 0.9749809499618998, 7
32, 2, 7, 0.5, 1, 0.26359713811572677, 0.3415862988267801, 0.8500127000253997, 3
32, 2, 7, 0.5, 0, 0.09697196786440505, 0.35699874056487746, 0.797398876047752, 3
32, 2, 7, 0.5, 0, 0.26359713811572677, 0.34595290632181563, 0.8470797879095757, 3
32, 2, 7, 0.5, 1, 0.36787944117144233, 0.3364064932451819, 0.8641811658623317, 3
32, 2, 7, 0.5, 2, 1.3956124250860895, 0.283541567374915, 0.9373452184404368, 4
32, 2, 7, 0.5, 1, 2.718281828459045, 0.21984633721806354, 0.9668291211582425, 6
32, 2, 7, 0.5, 1, 0.18887560283756183, 0.3457009362648041, 0.830700723901448, 3
32, 2, 7, 0.5, 1, 0.035673993347252395, 0.3535783778920334, 0.7709828232156465, 3
32, 2, 7, 0.5, 1, 0.049787068367863944, 0.35081495526803447, 0.788512827025654, 3
32, 2, 7, 0.5, 0, 0.06948345122280154, 0.3581735008020055, 0.7871277305054611, 3
32, 2, 7, 0.5, 1, 0.1353352832366127, 0.3498634549802787, 0.8126428752857505, 3
32, 2, 7, 0.5, 2, 3.7936678946831774, 0.19055046092822722, 0.9745840741681481, 7
32, 2, 7, 0.5, 1, 1.3956124250860895, 0.2803036442890422, 0.9390914719329436, 4
32, 2, 7, 0.5, 1, 0.06948345122280154, 0.35162457996428687, 0.7917553022606045, 3
32, 2, 7, 0.5, 1, 0.09697196786440505, 0.3513561020552902, 0.801899447548895, 3
32, 2, 7, 0.5, 2, 1.9477340410546757, 0.2548223648806724, 0.9538790640081278, 5
32, 2, 7, 0.5, 0, 2.718281828459045, 0.22132018325057035, 0.9664878079756162, 6
32, 2, 7, 0.5, 0, 1.3956124250860895, 0.2809840111163636, 0.9386945961391922, 4
32, 2, 7, 0.5, 0, 3.7936678946831774, 0.19282888920930602, 0.9741554483108962, 7
32, 2, 7, 0.5, 1, 1.9477340410546757, 0.2520142031228837, 0.9545140652781303, 5
32, 2, 7, 0.5, 0, 1.9477340410546757, 0.25623587373264783, 0.9535814071628143, 5
32, 2, 7, 0.5, 1, 3.7936678946831774, 0.18858017510725966, 0.9749809499618998, 8
32, 2, 7, 0.5, 2, 1.0, 0.3010875094028747, 0.9228910020320038, 4
32, 2, 7, 0.5, 2, 2.718281828459045, 0.22078681030542324, 0.9670156527813057, 7
32, 2, 7, 0.5, 0, 1.0, 0.30110524147862083, 0.9222956883413764, 4
32, 2, 7, 0.5, 2, 3.7936678946831774, 0.1905962011179016, 0.974576136652273, 8
32, 2, 7, 0.5, 1, 1.0, 0.29843209274190113, 0.9241530670561341, 4
32, 2, 7, 0.5, 1, 2.718281828459045, 0.21985372984177676, 0.9668529337058677, 7
32, 2, 7, 0.5, 2, 0.7165313105737893, 0.3164901037232437, 0.9056388112776225, 4
32, 2, 7, 0.5, 0, 0.7165313105737893, 0.3180946705237857, 0.903257556515113, 4
32, 2, 7, 0.5, 0, 3.7936678946831774, 0.19300137633768094, 0.9741395732791461, 8
32, 2, 7, 0.5, 2, 0.035673993347252395, 0.3552613566556519, 0.7736418910337821, 4
32, 2, 7, 0.5, 1, 0.7165313105737893, 0.3157092218208696, 0.9044124650749303, 4
32, 2, 7, 0.5, 0, 2.718281828459045, 0.22169141144236765, 0.9663766827533657, 7
32, 2, 7, 0.5, 2, 0.1353352832366127, 0.355243967804136, 0.8092218059436119, 4
32, 2, 7, 0.5, 2, 0.36787944117144233, 0.33992316100595954, 0.8639271653543306, 4
32, 2, 7, 0.5, 0, 0.513417119032592, 0.33305350923332594, 0.8812230124460247, 4
32, 2, 7, 0.5, 2, 0.049787068367863944, 0.35705632977051344, 0.7764676466852934, 4
32, 2, 7, 0.5, 2, 0.26359713811572677, 0.3441548282006278, 0.8476433515367031, 4
32, 2, 7, 0.5, 2, 0.06948345122280154, 0.3547162212450267, 0.780809467868936, 4
32, 2, 7, 0.5, 2, 0.513417119032592, 0.32895594273128853, 0.8874738061976123, 4
32, 2, 7, 0.5, 2, 0.18887560283756183, 0.3506538224951721, 0.8255334010668022, 4
32, 2, 7, 0.5, 0, 0.049787068367863944, 0.3589083339909286, 0.7780353060706119, 4
32, 2, 7, 0.5, 0, 0.1353352832366127, 0.3564046062501774, 0.809515494030988, 4
32, 2, 7, 0.5, 0, 0.36787944117144233, 0.3421275432242317, 0.8624507874015749, 4
32, 2, 7, 0.5, 0, 0.035673993347252395, 0.3605403095304397, 0.7714670116840233, 4
