Results of consistencyLeiden3_0 on graphs generated using TestCreationDestruction
n_graphs, step_size, k_gen, density, seed, k_cluster, modularity, consistency, iterations
32, 2, 7, 0.5, 0, 0, 0.34607912942159136, 0.7723758572517145, 1
32, 2, 7, 0.5, 1, 0, 0.34109768969584053, 0.7635414020828041, 1
32, 2, 7, 0.5, 0, 0, 0.35560739736339947, 0.7678157543815087, 2
32, 2, 7, 0.5, 0, 0.042143843509276406, 0.34571095791141027, 0.7873817310134622, 1
32, 2, 7, 0.5, 2, 0.035673993347252395, 0.342742053317612, 0.784266256032512, 1
32, 2, 7, 0.5, 0, 0.035673993347252395, 0.345296787923749, 0.783210566421133, 1
32, 2, 7, 0.5, 2, 0, 0.3440780477648347, 0.7694151638303279, 1
32, 2, 7, 0.5, 1, 0.042143843509276406, 0.3386847644270725, 0.7825835026670052, 1
32, 2, 7, 0.5, 1, 0.035673993347252395, 0.33913004732441776, 0.7882231076962154, 1
32, 2, 7, 0.5, 0, 0.049787068367863944, 0.34436036093555794, 0.7870562928625858, 1
32, 2, 7, 0.5, 0, 0, 0.3574424311808333, 0.7658274066548133, 3
32, 2, 7, 0.5, 1, 0, 0.35034700836945115, 0.7606838963677925, 2
32, 2, 7, 0.5, 0, 0.035673993347252395, 0.3566599920328446, 0.7822263144526287, 2
32, 2, 7, 0.5, 0, 0.042143843509276406, 0.3556480294868521, 0.7812539687579376, 2
32, 2, 7, 0.5, 2, 0.042143843509276406, 0.34405585685302637, 0.782242189484379, 1
32, 2, 7, 0.5, 2, 0, 0.35306171168899325, 0.7593464249428499, 2
32, 2, 7, 0.5, 1, 0.042143843509276406, 0.34986217102960887, 0.7751222377444756, 2
32, 2, 7, 0.5, 2, 0.035673993347252395, 0.3544403563360839, 0.7759715519431042, 2
32, 2, 7, 0.5, 1, 0.035673993347252395, 0.35033690005193163, 0.7830835661671324, 2
32, 2, 7, 0.5, 2, 0.05881647164242988, 0.3389819248933516, 0.7939539941579884, 1
32, 2, 7, 0.5, 0, 0.05881647164242988, 0.345915776553526, 0.7924895224790449, 1
32, 2, 7, 0.5, 0, 0.049787068367863944, 0.3562880961059126, 0.7840519431038864, 2
32, 2, 7, 0.5, 1, 0.049787068367863944, 0.338579080975467, 0.7919577089154178, 1
32, 2, 7, 0.5, 1, 0.05881647164242988, 0.3382236952657394, 0.8006175387350776, 1
32, 2, 7, 0.5, 0, 0, 0.35871883550736944, 0.7651209677419354, 4
32, 2, 7, 0.5, 1, 0, 0.35188811233241984, 0.7570286703073408, 3
32, 2, 7, 0.5, 2, 0.049787068367863944, 0.3431251298410902, 0.7850560388620775, 1
