Results of clusterStacked on graphs generated using TestCreationDestruction
n_graphs, step_size, k_gen, density, seed, k_cluster, modularity, consistency, iterations
32, 2, 7, 0.5, 0, 1, 0.3433776645136225, 0.7681888176276351, 1
32, 2, 7, 0.5, 0, 1, 0.356297038689166, 0.7599814262128523, 2
32, 2, 7, 0.5, 0, 1, 0.35903161733196404, 0.7548696659893319, 3
32, 2, 7, 0.5, 1, 1, 0.3382527058561082, 0.7660099695199389, 1
32, 2, 7, 0.5, 1, 1, 0.3514468854534278, 0.7600727076454153, 2
32, 2, 7, 0.5, 1, 1, 0.3543227707517031, 0.7582907353314705, 3
32, 2, 7, 0.5, 2, 1, 0.34036195564470006, 0.7727012954025908, 1
32, 2, 7, 0.5, 2, 1, 0.352540849721759, 0.7608188341376683, 2
32, 2, 7, 0.5, 2, 1, 0.35645381597077, 0.7574414211328424, 3
32, 2, 7, 0.5, 0, 2, 0.27600111084981754, 0.8806435737871474, 1
32, 2, 7, 0.5, 0, 2, 0.28501961242381935, 0.8874579311658622, 2
32, 2, 7, 0.5, 0, 2, 0.28743098779410176, 0.8873468059436117, 3
32, 2, 7, 0.5, 1, 2, 0.26580509679568426, 0.8746666243332485, 1
32, 2, 7, 0.5, 1, 2, 0.27751881707639064, 0.8798180721361443, 2
32, 2, 7, 0.5, 1, 2, 0.2806840770269431, 0.8858347091694183, 3
32, 2, 7, 0.5, 2, 2, 0.26871080660455665, 0.8803260731521466, 1
32, 2, 7, 0.5, 2, 2, 0.2812429967317737, 0.8831438912877827, 2
32, 2, 7, 0.5, 2, 2, 0.2821220612736426, 0.882715265430531, 3
32, 2, 7, 0.5, 0, 3, 0.2676630238714892, 0.9329597409194819, 2
32, 2, 7, 0.5, 0, 3, 0.26166104107794336, 0.930237172974346, 1
32, 2, 7, 0.5, 1, 3, 0.2550904454195273, 0.9264470091440183, 1
32, 2, 7, 0.5, 0, 3, 0.2696843300250906, 0.935221932943866, 3
32, 2, 7, 0.5, 1, 3, 0.2623241721947467, 0.9333248666497334, 2
32, 2, 7, 0.5, 1, 3, 0.2630531039326305, 0.9316143319786638, 3
32, 2, 7, 0.5, 2, 3, 0.25776481661546563, 0.9289830454660907, 1
32, 2, 7, 0.5, 2, 3, 0.2664265652225414, 0.9355156210312422, 2
32, 2, 7, 0.5, 0, 4, 0.2559655711061919, 0.951247777495555, 1
32, 2, 7, 0.5, 2, 3, 0.2674263750785385, 0.9342138684277368, 3
32, 2, 7, 0.5, 0, 4, 0.25844858131048176, 0.9511922148844298, 2
32, 2, 7, 0.5, 0, 4, 0.25827158502469527, 0.9513271526543053, 3
32, 2, 7, 0.5, 1, 4, 0.2494551027109249, 0.9496721805943613, 1
32, 2, 7, 0.5, 1, 4, 0.25212536514555384, 0.9528948120396241, 2
32, 2, 7, 0.5, 2, 4, 0.2508929683420615, 0.9531210312420624, 1
32, 2, 7, 0.5, 1, 4, 0.2527745263646144, 0.9512199961899923, 3
32, 2, 7, 0.5, 2, 4, 0.2536370716507131, 0.9553514732029463, 2
32, 2, 7, 0.5, 2, 4, 0.25350508481116285, 0.9525534988569977, 3
32, 2, 7, 0.5, 0, 6, 0.2414251794393616, 0.9636144272288545, 1
32, 2, 7, 0.5, 0, 6, 0.24325295506459102, 0.9655630873761749, 2
32, 2, 7, 0.5, 0, 6, 0.24397172096088154, 0.9646145542291085, 3
32, 2, 7, 0.5, 1, 6, 0.23182456389464148, 0.9631619888239776, 1
32, 2, 7, 0.5, 1, 6, 0.23381944728443818, 0.9629556134112269, 2
32, 2, 7, 0.5, 1, 6, 0.23289285682570532, 0.9630230822961645, 3
32, 2, 7, 0.5, 2, 6, 0.23922171295099232, 0.9640827406654815, 1
32, 2, 7, 0.5, 2, 6, 0.23997783041564758, 0.9644002413004826, 2
32, 2, 7, 0.5, 2, 6, 0.23981890303692263, 0.9635112395224791, 3
32, 2, 7, 0.5, 0, 8, 0.22849463731671596, 0.9834780607061214, 1
32, 2, 7, 0.5, 0, 8, 0.2286306226694688, 0.9828629032258065, 2
32, 2, 7, 0.5, 0, 8, 0.2286306226694688, 0.9828629032258065, 3
32, 2, 7, 0.5, 1, 8, 0.22210738705039137, 0.9797910845821691, 1
32, 2, 7, 0.5, 1, 8, 0.22240980427213417, 0.9805332423164846, 2
32, 2, 7, 0.5, 1, 8, 0.22240980427213417, 0.9805332423164846, 3
32, 2, 7, 0.5, 2, 8, 0.22475537834439635, 0.9814698691897383, 1
32, 2, 7, 0.5, 2, 8, 0.2254627117974887, 0.9819143700787402, 2
32, 2, 7, 0.5, 2, 8, 0.2254627117974887, 0.9819143700787402, 3
32, 2, 7, 0.5, 0, 12, 0.21606167698705556, 0.9924792037084074, 1
32, 2, 7, 0.5, 0, 12, 0.21520887841417632, 0.9918957962915926, 2
32, 2, 7, 0.5, 1, 12, 0.20982152381812494, 0.9935666433832868, 1
32, 2, 7, 0.5, 0, 12, 0.21611816329475153, 0.9924792037084074, 3
32, 2, 7, 0.5, 1, 12, 0.209489419243198, 0.9935269558039116, 3
32, 2, 7, 0.5, 1, 12, 0.209489419243198, 0.9935269558039116, 2
32, 2, 7, 0.5, 2, 12, 0.21261672015700794, 0.9921418592837187, 1
32, 2, 7, 0.5, 2, 12, 0.2126767024956459, 0.9916735458470918, 2
32, 2, 7, 0.5, 0, 16, 0.20195702955368694, 0.9970829629159258, 1
32, 2, 7, 0.5, 2, 12, 0.21269813765267845, 0.9912607950215899, 3
32, 2, 7, 0.5, 0, 16, 0.20353074101963411, 0.9978767145034291, 2
32, 2, 7, 0.5, 0, 16, 0.2028166810936774, 0.9978767145034291, 3
32, 2, 7, 0.5, 1, 16, 0.19756982451463256, 0.9987815913131826, 2
