Results of clusterVariance2 on graphs generated using TestCreationDestruction
n_graphs, step_size, k_gen, density, seed, k_cluster, modularity, consistency, iterations
32, 2, 7, 0.5, 0, 1, 0.3437864118074744, 0.7684309118618237, 1
32, 2, 7, 0.5, 0, 1, 0.355531629404967, 0.7634342456184912, 2
32, 2, 7, 0.5, 1, 1, 0.3377342889095457, 0.7630373698247397, 1
32, 2, 7, 0.5, 1, 1, 0.351364703685512, 0.7627913068326136, 2
32, 2, 7, 0.5, 2, 1, 0.35294231081920635, 0.7601004889509779, 2
32, 2, 7, 0.5, 2, 1, 0.3395920694413702, 0.7679864109728219, 1
32, 2, 7, 0.5, 0, 2, 0.3454587862367849, 0.7631564325628651, 1
32, 2, 7, 0.5, 0, 2, 0.35743435036833093, 0.7607513652527303, 2
32, 2, 7, 0.5, 1, 2, 0.3374798156412733, 0.7643788100076202, 1
32, 2, 7, 0.5, 1, 2, 0.35054468269239814, 0.7561674498348997, 2
32, 2, 7, 0.5, 2, 2, 0.34331120160718737, 0.7741816421132842, 1
32, 2, 7, 0.5, 2, 2, 0.3552830662899281, 0.7690500381000763, 2
32, 2, 7, 0.5, 0, 3, 0.34472026961566465, 0.7609537719075438, 1
32, 2, 7, 0.5, 0, 3, 0.35849864593558073, 0.7578422656845314, 2
32, 2, 7, 0.5, 1, 3, 0.33705463333057634, 0.7696493205486411, 1
32, 2, 7, 0.5, 1, 3, 0.35072152568489673, 0.7642041846583693, 2
32, 2, 7, 0.5, 2, 3, 0.3417907465124464, 0.7661131572263146, 1
32, 2, 7, 0.5, 2, 3, 0.353627179337618, 0.7601004889509779, 2
32, 2, 7, 0.5, 0, 4, 0.34331326704014314, 0.7615808356616713, 1
32, 2, 7, 0.5, 0, 4, 0.35569005998812137, 0.7577787655575312, 2
32, 2, 7, 0.5, 1, 4, 0.3391238178585063, 0.7637636525273052, 1
32, 2, 7, 0.5, 1, 4, 0.352416854092822, 0.7584097980695961, 2
32, 2, 7, 0.5, 2, 4, 0.3419482103057901, 0.7663592202184406, 1
32, 2, 7, 0.5, 2, 4, 0.35590630851384114, 0.7572667957835916, 2
32, 2, 7, 0.5, 0, 5, 0.34237610091437315, 0.7676252540005081, 1
32, 2, 7, 0.5, 0, 5, 0.35490565887222036, 0.7585764859029718, 2
32, 2, 7, 0.5, 1, 5, 0.33730626491836113, 0.7725981076962153, 1
32, 2, 7, 0.5, 1, 5, 0.3511595297220496, 0.7634302768605536, 2
32, 2, 7, 0.5, 2, 5, 0.3392281298888844, 0.7659186880873762, 1
32, 2, 7, 0.5, 2, 5, 0.3531111829925025, 0.7655297498094995, 2
