Results of clusterConnected on graphs generated using GirvanNewmanBenchmark

n_graphs, step_size, k_gen, density, seed, k_cluster, modularity, consistency, iterations
32, 2, 7.0, 0.5, 0, 0.1, 0.17135003881457916, 1.0, 2
32, 2, 7.0, 0.5, 0, 0.05, 0.17533388367960448, 1.0, 2
32, 2, 7.0, 0.5, 0, 0.02, 0.17533388367960448, 1.0, 2
32, 2, 7.0, 0.5, 0, 0.01, 0.18111654829602794, 0.9979560896621793, 2
32, 2, 7.0, 0.5, 0, 0.007, 0.18957036297419905, 0.9930149860299723, 2
32, 2, 7.0, 0.5, 0, 0.005, 0.20608620629880958, 0.9854148145796294, 2
32, 2, 7.0, 0.5, 0, 0.004, 0.22096720571609024, 0.97065103505207, 2
32, 2, 7.0, 0.5, 0, 0.003, 0.2845801106315414, 0.9474973012446027, 2
32, 2, 7.0, 0.5, 0, 0.0025, 0.29828726854380905, 0.9399447548895097, 2
32, 2, 7.0, 0.5, 0, 0.002, 0.3128962074999544, 0.9354283083566167, 2
32, 2, 7.0, 0.5, 0, 0.0015, 0.31957814968943504, 0.9332018351536704, 2
32, 2, 7.0, 0.5, 0, 0.001, 0.32672828769323425, 0.9112307912115823, 2
32, 2, 7.0, 0.5, 0, 0.0007, 0.333004550246064, 0.7890922656845313, 2
32, 2, 7.0, 0.5, 0, 0.0005, 0.3406946786485894, 0.7464916179832359, 2
32, 2, 7.0, 0.5, 0, 0.0002, 0.35120405155560885, 0.7578621094742188, 2
32, 2, 7.0, 0.5, 0, 0.0001, 0.3493884261189948, 0.7543973837947676, 2
32, 2, 7.0, 0.5, 0, 0.0, 0.3498073602589478, 0.7590646431292861, 2
32, 4, 7.0, 0.5, 0, 0.1, 0.17226079731193011, 1.0, 2
32, 4, 7.0, 0.5, 0, 0.05, 0.1726475470911262, 1.0, 2
32, 4, 7.0, 0.5, 0, 0.02, 0.1750489460803609, 1.0, 2
32, 4, 7.0, 0.5, 0, 0.01, 0.17505331816161038, 0.9991665608331216, 2
32, 4, 7.0, 0.5, 0, 0.007, 0.17772021652498357, 0.9980513398526798, 2
32, 4, 7.0, 0.5, 0, 0.005, 0.186564144032403, 0.9929633921767842, 2
32, 4, 7.0, 0.5, 0, 0.004, 0.19184528879989823, 0.9874587249174498, 2
32, 4, 7.0, 0.5, 0, 0.003, 0.2221766662958684, 0.9648368046736093, 2
32, 4, 7.0, 0.5, 0, 0.0025, 0.2254670384648055, 0.9497436182372364, 2
32, 4, 7.0, 0.5, 0, 0.002, 0.26643974675086957, 0.9038766827533657, 2
32, 4, 7.0, 0.5, 0, 0.0015, 0.3101913359812329, 0.8780480060960121, 2
32, 4, 7.0, 0.5, 0, 0.001, 0.3036498168458479, 0.8088765240030481, 2
32, 4, 7.0, 0.5, 0, 0.0007, 0.3357918627742454, 0.7548895097790194, 2
32, 4, 7.0, 0.5, 0, 0.0005, 0.341400102992239, 0.7527860680721362, 2
32, 4, 7.0, 0.5, 0, 0.0002, 0.34690494208509065, 0.7504643446786895, 2
32, 4, 7.0, 0.5, 0, 0.0001, 0.35082377811501886, 0.7516470345440692, 2
32, 4, 7.0, 0.5, 0, 0.0, 0.3482003814935575, 0.7530480060960121, 2
32, 2, 7.0, 0.5, 1, 0.0015, 0.281886990779322, 0.9404606934213872, 1
32, 2, 7.0, 0.5, 1, 0.0015, 0.3128243580185754, 0.930852330454661, 2
32, 2, 7.0, 0.5, 0, 0.1, 0.1745142237553172, 1.0, 1
32, 2, 7.0, 0.5, 0, 0.0015, 0.3206080598119214, 0.9318207073914146, 3
32, 2, 7.0, 0.5, 1, 0.0015, 0.312953858303013, 0.9310666433832867, 3
32, 2, 7.0, 0.5, 1, 0.0015, 0.312953858303013, 0.9310666433832867, 4
32, 2, 7.0, 0.5, 1, 0.1, 0.16951801285230395, 1.0, 1
32, 2, 7.0, 0.5, 0, 0.0015, 0.3206080598119214, 0.9318207073914146, 4
32, 2, 7.0, 0.5, 2, 0.1, 0.16988337056497707, 1.0, 1
32, 2, 7.0, 0.5, 0, 0.1, 0.17533388367960448, 1.0, 3
32, 2, 7.0, 0.5, 1, 0.1, 0.16961945319635152, 1.0, 2
32, 2, 7.0, 0.5, 0, 0.0015, 0.3206080598119214, 0.9318207073914146, 5
32, 2, 7.0, 0.5, 0, 0.002, 0.2888527399139239, 0.9460645796291592, 1
32, 2, 7.0, 0.5, 1, 0.0015, 0.3129648643534908, 0.9313047688595377, 5
32, 2, 7.0, 0.5, 1, 0.002, 0.27698691748443915, 0.9418418211836425, 1
32, 2, 7.0, 0.5, 0, 0.0015, 0.28681252130345597, 0.9402900368300737, 1
32, 2, 7.0, 0.5, 0, 0.02, 0.1752805567751624, 1.0, 1
32, 2, 7.0, 0.5, 1, 0.05, 0.16756795515285267, 1.0, 1
32, 2, 7.0, 0.5, 2, 0.002, 0.310250796868521, 0.9381985013970029, 2
32, 2, 7.0, 0.5, 0, 0.05, 0.17242943697782548, 1.0, 1
32, 2, 7.0, 0.5, 2, 0.002, 0.2822384509439793, 0.9447271082042165, 1
32, 2, 7.0, 0.5, 2, 0.1, 0.1691268590787195, 1.0, 2
32, 2, 7.0, 0.5, 2, 0.0015, 0.2868699538621169, 0.9398058483616968, 1
32, 2, 7.0, 0.5, 0, 0.002, 0.31669272540171806, 0.9396272542545085, 3
32, 2, 7.0, 0.5, 1, 0.1, 0.16961945319635152, 1.0, 4
32, 2, 7.0, 0.5, 2, 0.05, 0.17050464462975123, 1.0, 1
32, 2, 7.0, 0.5, 2, 0.05, 0.172537034875631, 1.0, 2
32, 2, 7.0, 0.5, 1, 0.002, 0.3086598529176373, 0.9387858775717552, 2
32, 2, 7.0, 0.5, 2, 0.001, 0.3011034344065929, 0.8894899352298706, 1
32, 2, 7.0, 0.5, 2, 0.01, 0.17194004687191516, 1.0, 1
32, 2, 7.0, 0.5, 0, 0.0, 0.3373997370198923, 0.7544727901955807, 1
32, 2, 7.0, 0.5, 1, 0.01, 0.17279423716771594, 0.9977933705867411, 2
32, 2, 7.0, 0.5, 1, 0.05, 0.16826876645704786, 1.0, 2
32, 2, 7.0, 0.5, 1, 0.1, 0.1693698322322918, 1.0, 3
32, 2, 7.0, 0.5, 2, 0.0015, 0.3152401327965334, 0.9339281178562358, 2
32, 2, 7.0, 0.5, 2, 0.0007, 0.3206258541884024, 0.7285210820421641, 1
