Results of consistencyLeiden2 on graphs generated using GirvanNewmanBenchmark
n_graphs, step_size, k_gen, density, seed, k_cluster, modularity, consistency, iterations
32, 2, 7, 0.5, 0, 0, 0.32514779506696945, 0.7543259461518922, 1
32, 2, 7, 0.5, 2, 0, 0.3237572155668075, 0.7530757874015748, 1
32, 2, 7, 0.5, 1, 0, 0.31872315588137395, 0.7643272161544323, 1
32, 2, 7, 0.5, 2, 0, 0.34149914880990767, 0.7500436563373128, 2
32, 2, 7, 0.5, 0, 0, 0.3430793213161216, 0.745392272034544, 2
32, 2, 7, 0.5, 1, 0, 0.3378124040489452, 0.7546950406400811, 2
32, 2, 7, 0.5, 2, 0, 0.3450688896690264, 0.7510715646431295, 3
32, 2, 7, 0.5, 0, 0, 0.34791431857614474, 0.7494999364998729, 3
32, 2, 7, 0.5, 1, 0, 0.3408441996173896, 0.7548141033782068, 3
32, 2, 7, 0.5, 2, 0, 0.3472674068395645, 0.7480116522733048, 4
32, 2, 7, 0.5, 0, 0, 0.3502956373411702, 0.749476123952248, 4
32, 2, 7, 0.5, 1, 0, 0.34344721617166724, 0.7529249745999492, 4
32, 2, 7, 0.5, 2, 0, 0.348528484555131, 0.7492856235712471, 5
32, 2, 7, 0.5, 0, 0, 0.35170530404182, 0.7481664338328675, 5
32, 2, 7, 0.5, 1, 0, 0.34533078344060825, 0.7537782575565151, 5
32, 2, 7, 0.5, 2, 0, 0.34964533673577997, 0.7490633731267462, 6
32, 2, 7, 0.5, 0, 0, 0.3529104464881854, 0.7463527114554228, 6
32, 2, 7, 0.5, 2, 0, 0.3507695973526715, 0.7492499047498093, 7
32, 2, 7, 0.5, 1, 0, 0.3465393960274038, 0.7520875666751333, 6
32, 2, 7, 0.5, 2, 0, 0.3516903691854333, 0.7478648082296165, 8
32, 2, 7, 0.5, 0, 0, 0.3533689691182128, 0.7470710566421132, 7
32, 2, 7, 0.5, 1, 0, 0.3473723866196216, 0.7511985648971299, 7
32, 2, 7, 0.5, 0, 0, 0.35388360971166366, 0.747285369570739, 8
32, 2, 7, 0.5, 1, 0, 0.348100653640993, 0.7500793751587502, 8
32, 2, 7, 0.5, 2, 5.29449005047003, 0.15203774820198873, 0.9805094297688598, 1
32, 2, 7, 0.5, 0, 5.29449005047003, 0.1533317485187945, 0.9802832105664215, 1
32, 2, 7, 0.5, 1, 5.29449005047003, 0.15507308240955997, 0.9803586169672344, 1
