Results of consistencyLeiden3_0 on graphs generated using GirvanNewmanBenchmark
n_graphs, step_size, k_gen, density, seed, k_cluster, modularity, consistency, iterations
32, 2, 7, 0.5, 1, 0.049787068367863944, 0.33448066536325466, 0.783905099060198, 1
32, 2, 7, 0.5, 1, 0.035673993347252395, 0.33344065388989014, 0.7766938658877318, 1
32, 2, 7, 0.5, 1, 0.06948345122280154, 0.333616127262256, 0.7917910210820419, 1
32, 2, 7, 0.5, 1, 0.1353352832366127, 0.33025504947377016, 0.8154845059690123, 1
32, 2, 7, 0.5, 0, 0.06948345122280154, 0.3404290935847868, 0.7853021018542036, 1
32, 2, 7, 0.5, 2, 0.049787068367863944, 0.33867368068727705, 0.7818215011430024, 1
32, 2, 7, 0.5, 0, 0.035673993347252395, 0.33871743117729186, 0.77744792989586, 1
32, 2, 7, 0.5, 2, 0.035673993347252395, 0.3378556843208424, 0.7629302133604267, 1
32, 2, 7, 0.5, 0, 0.7165313105737893, 0.2961283206361562, 0.909250381000762, 1
32, 2, 7, 0.5, 1, 0.09697196786440505, 0.33204171760374024, 0.8003278194056386, 1
32, 2, 7, 0.5, 0, 0.11455884399268773, 0.337148040814988, 0.798252159004318, 1
32, 2, 7, 0.5, 2, 0.22313016014842982, 0.3313106424270838, 0.8324072898145797, 1
32, 2, 7, 0.5, 2, 0.042143843509276406, 0.3377656832441179, 0.7708637604775209, 1
32, 2, 7, 0.5, 2, 0.06948345122280154, 0.336784645673335, 0.7872388557277114, 1
32, 2, 7, 0.5, 2, 0, 0.33752683994993676, 0.754583915417831, 1
32, 2, 7, 0.5, 1, 0.18887560283756183, 0.3294966254151593, 0.8280972186944373, 1
32, 2, 7, 0.5, 2, 0.1598797460796939, 0.3339219996064096, 0.8142700660401319, 1
32, 2, 7, 0.5, 1, 0.22313016014842982, 0.32631152414269576, 0.8385826771653543, 1
32, 2, 7, 0.5, 0, 0.18887560283756183, 0.332028169801933, 0.8270097790195582, 1
32, 2, 7, 0.5, 1, 0.0820849986238988, 0.3318554361414572, 0.7938785877571753, 1
32, 2, 7, 0.5, 0, 1.0, 0.2793382985510115, 0.92746697993396, 1
32, 2, 7, 0.5, 2, 0.05881647164242988, 0.3368728410676021, 0.7861831661163323, 1
32, 2, 7, 0.5, 0, 0.22313016014842982, 0.3294048590305705, 0.836249047498095, 1
32, 2, 7, 0.5, 2, 0.09697196786440505, 0.33784204228570164, 0.7987641287782578, 1
32, 2, 7, 0.5, 2, 0.0820849986238988, 0.335837594134735, 0.7937198374396749, 1
32, 2, 7, 0.5, 0, 0.36787944117144233, 0.3204825655515026, 0.8676855791211582, 1
32, 2, 7, 0.5, 1, 0.05881647164242988, 0.3343233690439841, 0.7872269494538988, 1
32, 2, 7, 0.5, 0, 0.05881647164242988, 0.33973385612049234, 0.7786663385826773, 1
32, 2, 7, 0.5, 0, 0.0820849986238988, 0.3379585414562257, 0.7914497078994158, 1
32, 2, 7, 0.5, 0, 0.8464817248906141, 0.28890397967228676, 0.9176443040386081, 1
32, 2, 7, 0.5, 0, 0.09697196786440505, 0.3380338699839169, 0.7946842456184912, 1
32, 2, 7, 0.5, 2, 0.1353352832366127, 0.33414750854059233, 0.8069000825501653, 1
32, 2, 7, 0.5, 1, 0.7165313105737893, 0.294803598701481, 0.9071310642621285, 1
32, 2, 7, 0.5, 2, 0.11455884399268773, 0.3338943192181888, 0.8078128968757938, 1
32, 2, 7, 0.5, 1, 0.6065306597126334, 0.3035728716089716, 0.896010604521209, 1
32, 2, 7, 0.5, 0, 0.1353352832366127, 0.336239034666415, 0.8101227139954281, 1
32, 2, 7, 0.5, 1, 0.042143843509276406, 0.33529965194785094, 0.7799403098806197, 1
32, 2, 7, 0.5, 2, 0.8464817248906141, 0.29061652705772517, 0.9147550482600966, 1
32, 2, 7, 0.5, 1, 0.1598797460796939, 0.3304236125395187, 0.8174530099060198, 1
32, 2, 7, 0.5, 1, 0.36787944117144233, 0.315867556369172, 0.868078486156972, 1
32, 2, 7, 0.5, 2, 0.7165313105737893, 0.29636250142820636, 0.9061745935991873, 1
32, 2, 7, 0.5, 0, 0.042143843509276406, 0.3397413972981262, 0.7723718884937771, 1
32, 2, 7, 0.5, 2, 0.3114032239145977, 0.3232907632479477, 0.8538623952247905, 1
32, 2, 7, 0.5, 0, 0.3114032239145977, 0.3234427126884707, 0.854890303530607, 1
32, 2, 7, 0.5, 2, 0.18887560283756183, 0.33153068245125805, 0.8219734251968503, 1
32, 2, 7, 0.5, 1, 0.11455884399268773, 0.3327833812422122, 0.806983426466853, 1
32, 2, 7, 0.5, 0, 0.4345982085070782, 0.316986349221117, 0.8753254381508763, 1
32, 2, 7, 0.5, 1, 0.3114032239145977, 0.32201401366829085, 0.8546045529591059, 1
32, 2, 7, 0.5, 0, 0.049787068367863944, 0.33954408568170447, 0.7773248983997968, 1
32, 2, 7, 0.5, 0, 0.1598797460796939, 0.3323028350835857, 0.8226044577089154, 1
32, 2, 7, 0.5, 2, 0.26359713811572677, 0.3249498717540911, 0.8452978155956313, 1
32, 2, 7, 0.5, 2, 0.4345982085070782, 0.3154743033383161, 0.8746031242062483, 1
32, 2, 7, 0.5, 0, 0.513417119032592, 0.3139259281029476, 0.8836042672085344, 1
32, 2, 7, 0.5, 2, 0.36787944117144233, 0.31792424718918916, 0.8665663893827789, 1
32, 2, 7, 0.5, 0, 0, 0.3380665172755209, 0.7524884112268224, 1
32, 2, 7, 0.5, 1, 0.4345982085070782, 0.3121961296606585, 0.8777701930403862, 1
32, 2, 7, 0.5, 1, 0, 0.33310492213047527, 0.7578105156210313, 1
32, 2, 7, 0.5, 0, 0.6065306597126334, 0.30705312852707073, 0.8959947294894591, 1
32, 2, 7, 0.5, 2, 0.6065306597126334, 0.30367316143422646, 0.8960661671323344, 1
32, 2, 7, 0.5, 2, 0.513417119032592, 0.30831509529327566, 0.8884104330708662, 1
32, 2, 7, 0.5, 1, 0.26359713811572677, 0.32390521676511924, 0.8508342329184659, 1
32, 2, 7, 0.5, 0, 0.26359713811572677, 0.3270251344697334, 0.8475639763779528, 1
32, 2, 7, 0.5, 1, 0.513417119032592, 0.30656778816069097, 0.8876404940309878, 1
32, 2, 7, 0.5, 1, 0.8464817248906141, 0.2870202439859293, 0.9178705232410467, 1
32, 2, 7, 0.5, 2, 0.035673993347252395, 0.3479423480461586, 0.7603306769113538, 2
32, 2, 7, 0.5, 0, 0.035673993347252395, 0.3499342654933061, 0.7749793624587252, 2
32, 2, 7, 0.5, 1, 0.035673993347252395, 0.34602444717571634, 0.7737252349504699, 2
32, 2, 7, 0.5, 0, 0.06948345122280154, 0.3509099537674818, 0.7820199390398781, 2
32, 2, 7, 0.5, 1, 0.049787068367863944, 0.34609982376097087, 0.7836153797307593, 2
32, 2, 7, 0.5, 2, 0, 0.3469871506157281, 0.749698374396749, 2
32, 2, 7, 0.5, 1, 0.05881647164242988, 0.3444399412977591, 0.7874134810769624, 2
32, 2, 7, 0.5, 2, 0.09697196786440505, 0.3477565056069743, 0.7929856172212346, 2
32, 2, 7, 0.5, 0, 0.11455884399268773, 0.3489649337554383, 0.8024511049022098, 2
32, 2, 7, 0.5, 2, 0.06948345122280154, 0.3487827459908984, 0.776412084074168, 2
32, 2, 7, 0.5, 1, 0.042143843509276406, 0.34655441992665004, 0.7768089598679199, 2
32, 2, 7, 0.5, 1, 0.06948345122280154, 0.3440699509079991, 0.7902432054864111, 2
32, 2, 7, 0.5, 2, 0.0820849986238988, 0.34660359213929104, 0.7931483362966725, 2
32, 2, 7, 0.5, 0, 0.1353352832366127, 0.34654370382026445, 0.8089479616459231, 2
32, 2, 7, 0.5, 2, 0.049787068367863944, 0.34833874857272784, 0.7750547688595377, 2
32, 2, 7, 0.5, 0, 0.05881647164242988, 0.3509606211630645, 0.776078708407417, 2
32, 2, 7, 0.5, 1, 0.09697196786440505, 0.3436202870262529, 0.7973472821945645, 2
32, 2, 7, 0.5, 2, 0.05881647164242988, 0.3473412368913323, 0.7810872809245618, 2
32, 2, 7, 0.5, 2, 0.042143843509276406, 0.3481495299793526, 0.7670021590043179, 2
32, 2, 7, 0.5, 1, 0.1353352832366127, 0.34045674092223194, 0.8110117157734316, 2
32, 2, 7, 0.5, 0, 0.22313016014842982, 0.34089624371606875, 0.8340225742951486, 2
32, 2, 7, 0.5, 0, 0.18887560283756183, 0.34302515818860935, 0.8243189611379224, 2
32, 2, 7, 0.5, 1, 0.18887560283756183, 0.33919047796095697, 0.8245729616459233, 2
32, 2, 7, 0.5, 0, 0.049787068367863944, 0.35116222439952577, 0.7756818326136653, 2
32, 2, 7, 0.5, 0, 0.0820849986238988, 0.35059291835702133, 0.7889335153670306, 2
32, 2, 7, 0.5, 2, 0.22313016014842982, 0.3398929343670033, 0.8329152908305818, 2
32, 2, 7, 0.5, 0, 0, 0.3500580530234667, 0.7504921259842522, 2
