Results of clusterStacked on graphs generated using GirvanNewmanBenchmark

n_graphs, step_size, k_gen, density, seed, k_cluster, modularity, consistency, iterations
32, 2, 7.0, 0.5, 0, 1.0, 0.34871465023122916, 0.7458566167132336, 2
32, 2, 7.0, 0.5, 0, 2.0, 0.30135297387295934, 0.9103576644653291, 2
32, 2, 7.0, 0.5, 0, 3.0, 0.28481393598144467, 0.9452033591567184, 2
32, 2, 7.0, 0.5, 0, 4.0, 0.2716257029653609, 0.9559388493776988, 2
32, 2, 7.0, 0.5, 0, 6.0, 0.2524101089984777, 0.9626897066294132, 2
32, 2, 7.0, 0.5, 0, 8.0, 0.23026277230912037, 0.9758461391922784, 2
32, 2, 7.0, 0.5, 0, 12.0, 0.20757389482134583, 0.9855299085598171, 2
32, 2, 7.0, 0.5, 0, 16.0, 0.17824263257234493, 0.993491236982474, 2
32, 2, 7.0, 0.5, 0, 32.0, 0.1733039204379384, 1.0, 2
32, 4, 7.0, 0.5, 0, 1.0, 0.34961506994066793, 0.748499809499619, 2
32, 4, 7.0, 0.5, 0, 2.0, 0.2818240273966148, 0.8747975933451867, 2
32, 4, 7.0, 0.5, 0, 3.0, 0.25950473025947046, 0.9160052070104141, 2
32, 4, 7.0, 0.5, 0, 4.0, 0.23651516057692248, 0.9410956946913894, 2
32, 4, 7.0, 0.5, 0, 6.0, 0.20782337024646907, 0.9642930848361696, 2
32, 4, 7.0, 0.5, 0, 8.0, 0.1824819066860522, 0.9740522606045212, 2
32, 4, 7.0, 0.5, 0, 12.0, 0.19013041753877571, 0.9843154686309373, 2
32, 4, 7.0, 0.5, 0, 16.0, 0.17872366282827, 0.994515176530353, 2
32, 4, 7.0, 0.5, 0, 32.0, 0.1730645916123187, 1.0, 2
32, 2, 7.0, 0.5, 1, 1.0, 0.3311301835561371, 0.7600806451612903, 1
32, 2, 7.0, 0.5, 0, 1.0, 0.33573427729625455, 0.7563301689103378, 1
32, 2, 7.0, 0.5, 0, 2.0, 0.290380734969947, 0.8887438087376175, 1
32, 2, 7.0, 0.5, 1, 1.0, 0.34699233830414933, 0.7613387414274827, 2
32, 2, 7.0, 0.5, 2, 32.0, 0.16856508832722386, 1.0, 1
32, 2, 7.0, 0.5, 1, 1.0, 0.3499702940272895, 0.758600298450597, 3
32, 2, 7.0, 0.5, 0, 1.0, 0.35366374511211024, 0.7513731902463805, 3
32, 2, 7.0, 0.5, 2, 1.0, 0.3359350519283459, 0.7577589217678437, 1
32, 2, 7.0, 0.5, 2, 32.0, 0.17193175067458627, 1.0, 3
32, 2, 7.0, 0.5, 2, 32.0, 0.17193175067458627, 1.0, 2
32, 2, 7.0, 0.5, 2, 3.0, 0.2838076626313149, 0.9449850774701548, 3
32, 2, 7.0, 0.5, 2, 1.0, 0.34892260036850986, 0.7534329756159514, 2
32, 2, 7.0, 0.5, 1, 3.0, 0.2794560415824434, 0.9396510668021336, 2
32, 2, 7.0, 0.5, 0, 3.0, 0.2808730508149175, 0.9389287528575058, 1
32, 2, 7.0, 0.5, 1, 2.0, 0.2909070926468856, 0.9003524257048515, 3
32, 2, 7.0, 0.5, 0, 6.0, 0.2524589738237374, 0.963011176022352, 3
32, 2, 7.0, 0.5, 2, 2.0, 0.28776179228627274, 0.8934229743459486, 1
32, 2, 7.0, 0.5, 1, 4.0, 0.2641526648056608, 0.9552998793497587, 2
32, 2, 7.0, 0.5, 1, 2.0, 0.2881474592058605, 0.8955264160528321, 2
32, 2, 7.0, 0.5, 2, 3.0, 0.2844547737802254, 0.9465924244348487, 2
32, 2, 7.0, 0.5, 2, 2.0, 0.2994045168003804, 0.9070834391668784, 2
32, 2, 7.0, 0.5, 2, 4.0, 0.2689991448101538, 0.9562126936753873, 2
32, 2, 7.0, 0.5, 1, 4.0, 0.26386491908038096, 0.9557721615443231, 1
32, 2, 7.0, 0.5, 0, 6.0, 0.25213170537590857, 0.9623841122682246, 1
32, 2, 7.0, 0.5, 2, 1.0, 0.3533675342936793, 0.7520716916433832, 3
32, 2, 7.0, 0.5, 0, 4.0, 0.2716277954391516, 0.9560182245364491, 3
32, 2, 7.0, 0.5, 1, 3.0, 0.2799669496696622, 0.9406472250444501, 3
32, 2, 7.0, 0.5, 2, 4.0, 0.2689492224673368, 0.9561333185166371, 1
32, 2, 7.0, 0.5, 2, 3.0, 0.28071160655034444, 0.9410004445008889, 1
32, 2, 7.0, 0.5, 0, 4.0, 0.27016114135423785, 0.9545180340360679, 1
32, 2, 7.0, 0.5, 1, 6.0, 0.24529358984417468, 0.9615665481330963, 1
32, 2, 7.0, 0.5, 1, 3.0, 0.2771542466064211, 0.93748412496825, 1
32, 2, 7.0, 0.5, 0, 3.0, 0.28482187427447564, 0.9450327025654052, 3
32, 2, 7.0, 0.5, 2, 2.0, 0.30012116838874187, 0.9054641859283717, 3
32, 2, 7.0, 0.5, 0, 2.0, 0.30171649118912525, 0.9047299657099315, 3
32, 2, 7.0, 0.5, 1, 2.0, 0.27728938488891364, 0.8808658242316484, 1
32, 2, 7.0, 0.5, 1, 4.0, 0.2641587629038115, 0.9553832232664466, 3
32, 2, 7.0, 0.5, 2, 6.0, 0.2534245323012221, 0.9614792354584709, 2
32, 2, 7.0, 0.5, 2, 4.0, 0.26903809264998857, 0.9559586931673864, 3
32, 2, 7.0, 0.5, 2, 6.0, 0.2515774226587822, 0.9609791719583439, 1
