Results of clusterVariance2 on graphs generated using GirvanNewmanBenchmark

n_graphs, step_size, k_gen, density, seed, k_cluster, modularity, consistency, iterations
32, 2, 7.0, 0.5, 0, 1.0, 0.3517951708840004, 0.7551196977393955, 2
32, 2, 7.0, 0.5, 0, 2.0, 0.3514021309587301, 0.7498491871983743, 2
32, 2, 7.0, 0.5, 0, 3.0, 0.3505778211029553, 0.7443762700025398, 2
32, 2, 7.0, 0.5, 0, 4.0, 0.3497784458681271, 0.7590884556769112, 2
32, 2, 7.0, 0.5, 0, 5.0, 0.350460333639803, 0.7556951676403355, 2
32, 4, 7.0, 0.5, 0, 1.0, 0.3491222199097941, 0.7516668783337568, 2
32, 4, 7.0, 0.5, 0, 2.0, 0.34827765069141325, 0.7498690309880619, 2
32, 4, 7.0, 0.5, 0, 3.0, 0.34856535820406154, 0.7532107251714503, 2
32, 4, 7.0, 0.5, 0, 4.0, 0.34840759586736436, 0.748614903479807, 2
32, 4, 7.0, 0.5, 0, 5.0, 0.3485607351658653, 0.7554173545847092, 2
32, 2, 7.0, 0.5, 1, 2.0, 0.3332552090021369, 0.7590805181610362, 1
32, 2, 7.0, 0.5, 2, 1.0, 0.3355860634574032, 0.7567230759461518, 1
32, 2, 7.0, 0.5, 2, 1.0, 0.34817552625815573, 0.7575842964185929, 2
32, 2, 7.0, 0.5, 1, 1.0, 0.34573224764330573, 0.7598822072644145, 2
32, 2, 7.0, 0.5, 2, 3.0, 0.3362327992025601, 0.7542902273304547, 1
32, 2, 7.0, 0.5, 1, 1.0, 0.3338794784604351, 0.7638787465074934, 1
32, 2, 7.0, 0.5, 0, 1.0, 0.3376984927152538, 0.7586955486410975, 1
32, 2, 7.0, 0.5, 1, 2.0, 0.3465036756359857, 0.7546434467868935, 2
32, 2, 7.0, 0.5, 2, 2.0, 0.338444588448404, 0.7554292608585217, 1
32, 2, 7.0, 0.5, 2, 2.0, 0.351083104698929, 0.7560126682753365, 2
32, 2, 7.0, 0.5, 0, 2.0, 0.3379361914426179, 0.7540917894335787, 1
32, 2, 7.0, 0.5, 1, 4.0, 0.33162347182568375, 0.7601639890779781, 1
32, 2, 7.0, 0.5, 0, 4.0, 0.33644030261263724, 0.761176022352045, 1
32, 2, 7.0, 0.5, 0, 3.0, 0.33713988173928267, 0.7460431483362966, 1
32, 2, 7.0, 0.5, 2, 5.0, 0.33493101722732727, 0.7571437642875286, 1
32, 2, 7.0, 0.5, 2, 3.0, 0.34937706941029584, 0.7538020701041402, 2
32, 2, 7.0, 0.5, 2, 4.0, 0.3360094095208325, 0.7601560515621032, 1
32, 2, 7.0, 0.5, 0, 5.0, 0.3374252421164599, 0.756286512573025, 1
32, 2, 7.0, 0.5, 1, 5.0, 0.33263857245423367, 0.7625730251460503, 1
32, 2, 7.0, 0.5, 1, 4.0, 0.34620794491075574, 0.7515200342900685, 2
32, 2, 7.0, 0.5, 1, 5.0, 0.345305915933945, 0.7547188531877066, 2
32, 2, 7.0, 0.5, 2, 4.0, 0.3487798213649755, 0.7573461709423418, 2
32, 2, 7.0, 0.5, 1, 3.0, 0.3458985261255549, 0.7557943865887728, 2
32, 2, 7.0, 0.5, 2, 5.0, 0.3497025741258752, 0.7594615189230377, 2
32, 2, 7.0, 0.5, 1, 3.0, 0.3328727547025221, 0.7607910528321056, 1
