Results of consistencyLeiden3_0_1 on graphs generated using MergingSplitting
n_graphs, step_size, k_gen, density, seed, k_cluster, modularity, consistency, iterations
32, 2, 7, 0.5, 2, 0, 0.32631058073931485, 0.7527820993141986, 1
32, 2, 7, 0.5, 1, 0, 0.3195375696395881, 0.7503492506985013, 1
32, 2, 7, 0.5, 0, 0, 0.325056263336839, 0.75065484505969, 1
32, 2, 7, 0.5, 0, 0.035673993347252395, 0.32606733662917015, 0.7636723710947422, 1
32, 2, 7, 0.5, 2, 0, 0.3350226882713284, 0.7489562166624336, 2
32, 2, 7, 0.5, 0, 0.042143843509276406, 0.32383936171754196, 0.7702724155448312, 1
32, 2, 7, 0.5, 1, 0, 0.3321237321870146, 0.7430903924307849, 2
32, 2, 7, 0.5, 1, 0.042143843509276406, 0.3193005264612339, 0.7704311658623317, 1
32, 2, 7, 0.5, 0, 0, 0.3369294165617413, 0.7491268732537466, 2
32, 2, 7, 0.5, 0, 0.035673993347252395, 0.33698867043346153, 0.7624499936499871, 2
32, 2, 7, 0.5, 2, 0, 0.3364850591791624, 0.7468210248920498, 3
32, 2, 7, 0.5, 1, 0.035673993347252395, 0.31964042223744665, 0.7700184150368299, 1
32, 2, 7, 0.5, 2, 0.035673993347252395, 0.32483607154027866, 0.7623031496062993, 1
32, 2, 7, 0.5, 0, 0, 0.3382621123395746, 0.7428244856489712, 3
32, 2, 7, 0.5, 1, 0, 0.33394202366612474, 0.7438722377444755, 3
32, 2, 7, 0.5, 1, 0.042143843509276406, 0.33191805562004006, 0.7630214947929896, 2
32, 2, 7, 0.5, 0, 0.042143843509276406, 0.3355695206471917, 0.7658829692659385, 2
32, 2, 7, 0.5, 0, 0.049787068367863944, 0.32370354927192996, 0.764902686055372, 1
32, 2, 7, 0.5, 0, 0.035673993347252395, 0.33925663114161314, 0.7614736791973585, 3
32, 2, 7, 0.5, 2, 0, 0.33708045829982497, 0.7480037147574297, 4
32, 2, 7, 0.5, 2, 0.042143843509276406, 0.32291163948299784, 0.7681094424688849, 1
32, 2, 7, 0.5, 1, 0.042143843509276406, 0.3337389202674452, 0.7635056832613666, 3
32, 2, 7, 0.5, 1, 0.035673993347252395, 0.33178263262964197, 0.7673196596393194, 2
32, 2, 7, 0.5, 2, 0.035673993347252395, 0.33468837216745617, 0.7640970281940567, 2
32, 2, 7, 0.5, 1, 0, 0.3346113020980618, 0.7434515494030985, 4
32, 2, 7, 0.5, 2, 0.042143843509276406, 0.33434653732289904, 0.7685737871475741, 2
32, 2, 7, 0.5, 0, 0.049787068367863944, 0.33549089225779116, 0.7640414655829311, 2
32, 2, 7, 0.5, 0, 0, 0.3396534244142042, 0.7454597409194818, 4
32, 2, 7, 0.5, 0, 0.042143843509276406, 0.33795423543316067, 0.7668037211074422, 3
32, 2, 7, 0.5, 2, 0, 0.3379060818082317, 0.7486109347218695, 5
32, 2, 7, 0.5, 0, 0.035673993347252395, 0.33974982587325103, 0.762632556515113, 4
32, 2, 7, 0.5, 1, 0.042143843509276406, 0.3355584034821186, 0.7622833058166117, 4
32, 2, 7, 0.5, 1, 0.049787068367863944, 0.31868215819760887, 0.772594138938278, 1
32, 2, 7, 0.5, 0, 0.049787068367863944, 0.33753761087921685, 0.7617475234950469, 3
32, 2, 7, 0.5, 2, 0.042143843509276406, 0.3359424762005557, 0.7678038481076961, 3
32, 2, 7, 0.5, 2, 0, 0.3383843440677708, 0.7474599949199897, 6
32, 2, 7, 0.5, 1, 0.035673993347252395, 0.3339838735582613, 0.7654662496824992, 3
32, 2, 7, 0.5, 2, 0.049787068367863944, 0.32277404119796693, 0.7720305753111506, 1
32, 2, 7, 0.5, 2, 0.035673993347252395, 0.3361770235803906, 0.7612593662687324, 3
32, 2, 7, 0.5, 0, 0, 0.3407565761490169, 0.743836518923038, 5
32, 2, 7, 0.5, 0, 0.042143843509276406, 0.33835985338225993, 0.7674545974091949, 4
32, 2, 7, 0.5, 1, 0, 0.33552193226903554, 0.7423402971805941, 5
32, 2, 7, 0.5, 1, 0.042143843509276406, 0.3364424322943044, 0.7607354902209805, 5
32, 2, 7, 0.5, 0, 0.035673993347252395, 0.34050777980262514, 0.7612593662687325, 5
32, 2, 7, 0.5, 0, 0.049787068367863944, 0.3383514073181188, 0.7622515557531114, 4
32, 2, 7, 0.5, 2, 0.042143843509276406, 0.33723671827609003, 0.7657996253492506, 4
32, 2, 7, 0.5, 1, 0.042143843509276406, 0.336073089581379, 0.7616125857251714, 6
32, 2, 7, 0.5, 2, 0, 0.33894312836493884, 0.7447771145542289, 7
32, 2, 7, 0.5, 2, 0.035673993347252395, 0.3371994408895681, 0.7617118046736094, 4
32, 2, 7, 0.5, 0, 0.042143843509276406, 0.3390421162518726, 0.768415036830074, 5
32, 2, 7, 0.5, 0, 0.0820849986238988, 0.3240717260910418, 0.7861831661163321, 1
32, 2, 7, 0.5, 1, 0.035673993347252395, 0.3353765313060073, 0.7651408115316229, 4
32, 2, 7, 0.5, 0, 0, 0.3411115812005129, 0.7431102362204725, 6
32, 2, 7, 0.5, 1, 0, 0.33634409165790696, 0.7404471996443992, 6
32, 2, 7, 0.5, 0, 0.035673993347252395, 0.34105892454302683, 0.7606203962407923, 6
32, 2, 7, 0.5, 2, 0.049787068367863944, 0.33328350204382196, 0.7666092519685042, 2
32, 2, 7, 0.5, 1, 0.049787068367863944, 0.33103083074141487, 0.7684705994411989, 2
32, 2, 7, 0.5, 0, 0.049787068367863944, 0.33909617371515444, 0.7628627444754887, 5
32, 2, 7, 0.5, 2, 0.042143843509276406, 0.3377380714929782, 0.7671450342900683, 5
32, 2, 7, 0.5, 1, 0.042143843509276406, 0.33631751023905454, 0.7614300228600458, 7
32, 2, 7, 0.5, 0, 0.05881647164242988, 0.32321386847819683, 0.7797220281940562, 1
32, 2, 7, 0.5, 2, 0, 0.3389617665888631, 0.7439714566929133, 8
32, 2, 7, 0.5, 2, 0.05881647164242988, 0.3223329007009065, 0.7772733045466089, 1
32, 2, 7, 0.5, 2, 0.035673993347252395, 0.3380632773675256, 0.7614895542291085, 5
32, 2, 7, 0.5, 0, 0.042143843509276406, 0.3393738068550805, 0.767240284480569, 6
32, 2, 7, 0.5, 0, 0.06948345122280154, 0.3245808263013126, 0.774626143002286, 1
32, 2, 7, 0.5, 0, 0, 0.34151414247158257, 0.7430983299466598, 7
32, 2, 7, 0.5, 2, 0.0820849986238988, 0.32165528568814705, 0.779158464566929, 1
32, 2, 7, 0.5, 1, 0, 0.33677226539404703, 0.7408917005334008, 7
32, 2, 7, 0.5, 0, 0.0820849986238988, 0.3346871053525141, 0.7848298196596395, 2
32, 2, 7, 0.5, 1, 0.035673993347252395, 0.3360267558207972, 0.7643748412496825, 5
32, 2, 7, 0.5, 0, 0.049787068367863944, 0.3397087590802093, 0.7628151193802387, 6
32, 2, 7, 0.5, 0, 0.035673993347252395, 0.3420945467034452, 0.7606323025146048, 7
32, 2, 7, 0.5, 0, 0.09697196786440505, 0.3226703322745745, 0.7863181038862078, 1
32, 2, 7, 0.5, 2, 0.042143843509276406, 0.3381981961898503, 0.7672125031750062, 6
32, 2, 7, 0.5, 1, 0.05881647164242988, 0.3184198946072172, 0.772185356870714, 1
32, 2, 7, 0.5, 1, 0.042143843509276406, 0.33747467535125164, 0.7605449898399796, 8
32, 2, 7, 0.5, 1, 0.049787068367863944, 0.3332201194178986, 0.7640533718567437, 3
32, 2, 7, 0.5, 2, 0.049787068367863944, 0.3346289821428893, 0.7641486220472442, 3
32, 2, 7, 0.5, 2, 0.06948345122280154, 0.3213796395347622, 0.7806665925831852, 1
32, 2, 7, 0.5, 1, 0.0820849986238988, 0.3187424196715111, 0.7835439420878841, 1
32, 2, 7, 0.5, 2, 0.035673993347252395, 0.3371871770562545, 0.7621563055626113, 6
32, 2, 7, 0.5, 1, 0.06948345122280154, 0.3171454748823525, 0.7892986410972823, 1
32, 2, 7, 0.5, 0, 0.042143843509276406, 0.33935284004377175, 0.7653432181864365, 7
32, 2, 7, 0.5, 0, 0, 0.34189849411571915, 0.7431142049784099, 8
32, 2, 7, 0.5, 0, 0.049787068367863944, 0.3389782948524, 0.7637993713487425, 7
32, 2, 7, 0.5, 1, 0.09697196786440505, 0.31709433188702235, 0.7840916306832614, 1
32, 2, 7, 0.5, 0, 0.0820849986238988, 0.3357384310652465, 0.7848496634493268, 3
32, 2, 7, 0.5, 1, 0, 0.33628212199599494, 0.7432054864109726, 8
32, 2, 7, 0.5, 0, 0.11455884399268773, 0.3218059684794875, 0.79754572009144, 1
32, 2, 7, 0.5, 0, 0.05881647164242988, 0.3358222354776194, 0.7702922593345187, 2
32, 2, 7, 0.5, 0, 0.035673993347252395, 0.341823013449753, 0.7590011430022858, 8
32, 2, 7, 0.5, 2, 0.042143843509276406, 0.33898430217798137, 0.7655614998729997, 7
32, 2, 7, 0.5, 1, 0.035673993347252395, 0.33732187316294343, 0.7603148018796037, 6
32, 2, 7, 0.5, 2, 0.11455884399268773, 0.32076255924113317, 0.7949342773685547, 1
32, 2, 7, 0.5, 2, 0.05881647164242988, 0.3321430255054558, 0.7730108585217174, 2
32, 2, 7, 0.5, 2, 0.0820849986238988, 0.3316912237303459, 0.7814127190754382, 2
32, 2, 7, 0.5, 2, 0.049787068367863944, 0.3362298647196536, 0.7662877825755652, 4
32, 2, 7, 0.5, 0, 0.06948345122280154, 0.3338237793443432, 0.7744554864109728, 2
32, 2, 7, 0.5, 1, 0.049787068367863944, 0.3345981645765041, 0.7645732791465584, 4
32, 2, 7, 0.5, 0, 0.049787068367863944, 0.33981127628105234, 0.763386620523241, 8
32, 2, 7, 0.5, 2, 0.035673993347252395, 0.3379418355703862, 0.7597631445262891, 7
