Results of consistencyLeiden3_1 on graphs generated using MergingSplitting
n_graphs, step_size, k_gen, density, seed, k_cluster, modularity, consistency, iterations
32, 2, 7, 0.5, 0, 0, 0.3315004230067899, 0.7487736537973075, 1
32, 2, 7, 0.5, 1, 0, 0.3266872206896296, 0.7477655892811786, 1
32, 2, 7, 0.5, 0, 0.035673993347252395, 0.33122218014317123, 0.7646526543053086, 1
32, 2, 7, 0.5, 0, 0, 0.3412832754753545, 0.7482140589281179, 2
32, 2, 7, 0.5, 1, 0.035673993347252395, 0.3244451838996842, 0.7645970916941836, 1
32, 2, 7, 0.5, 2, 0, 0.328388089228112, 0.7567707010414021, 1
32, 2, 7, 0.5, 0, 0.035673993347252395, 0.3404310325864249, 0.7631921513843029, 2
32, 2, 7, 0.5, 1, 0, 0.33638042842497834, 0.7475909639319278, 2
32, 2, 7, 0.5, 0, 0, 0.3431553135895201, 0.7463566802133604, 3
32, 2, 7, 0.5, 1, 0.035673993347252395, 0.3348191043356223, 0.761648304546609, 2
32, 2, 7, 0.5, 0, 0.042143843509276406, 0.32970661279371327, 0.7743761112522225, 1
32, 2, 7, 0.5, 2, 0, 0.33780123568071685, 0.7483926530353061, 2
32, 2, 7, 0.5, 0, 0.035673993347252395, 0.3423376883521325, 0.7619221488442975, 3
32, 2, 7, 0.5, 1, 0.042143843509276406, 0.3235693448650512, 0.7757731140462281, 1
32, 2, 7, 0.5, 2, 0.035673993347252395, 0.32828876337042917, 0.7629460883921769, 1
32, 2, 7, 0.5, 0, 0, 0.3437276790745096, 0.7466424307848614, 4
32, 2, 7, 0.5, 1, 0, 0.3376847017332503, 0.7477854330708661, 3
32, 2, 7, 0.5, 2, 0.042143843509276406, 0.32925822409772487, 0.765132874015748, 1
32, 2, 7, 0.5, 0, 0.049787068367863944, 0.32919822983746866, 0.7751897066294134, 1
32, 2, 7, 0.5, 2, 0.049787068367863944, 0.32870549153880485, 0.7695778829057656, 1
32, 2, 7, 0.5, 2, 0, 0.33966970763169657, 0.7499682499365002, 3
32, 2, 7, 0.5, 0, 0.035673993347252395, 0.34319409425090186, 0.7597393319786641, 4
32, 2, 7, 0.5, 0, 0, 0.34421316919532047, 0.7468726187452376, 5
32, 2, 7, 0.5, 1, 0.035673993347252395, 0.33661369504712546, 0.7593940500381003, 3
