Results of clusterVariance2 on graphs generated using MergingSplitting
n_graphs, step_size, k_gen, density, seed, k_cluster, modularity, consistency, iterations
32, 2, 7, 0.5, 0, 1, 0.3264395283839121, 0.7521312230124461, 1
32, 2, 7, 0.5, 0, 1, 0.3389705139320491, 0.7477655892811785, 2
32, 2, 7, 0.5, 1, 1, 0.32372374561906403, 0.7516549720599444, 1
32, 2, 7, 0.5, 1, 1, 0.3357133542628675, 0.7485791846583693, 2
32, 2, 7, 0.5, 2, 1, 0.3372270066191333, 0.7540163830327662, 2
32, 2, 7, 0.5, 2, 1, 0.3256916059450584, 0.7549371348742696, 1
32, 2, 7, 0.5, 0, 2, 0.32732896066166706, 0.7550720726441453, 1
32, 2, 7, 0.5, 0, 2, 0.3388338344700248, 0.7546077279654558, 2
32, 2, 7, 0.5, 1, 2, 0.3219859389354288, 0.7493649987299975, 1
32, 2, 7, 0.5, 1, 2, 0.3354378723284724, 0.7507897828295657, 2
32, 2, 7, 0.5, 2, 2, 0.32706195550364525, 0.74749174498349, 1
32, 2, 7, 0.5, 2, 2, 0.33778833905685685, 0.7503135318770637, 2
32, 2, 7, 0.5, 0, 3, 0.3278469013043537, 0.7478767145034291, 1
32, 2, 7, 0.5, 0, 3, 0.34052817549733183, 0.7470789941579883, 2
32, 2, 7, 0.5, 1, 3, 0.3226123709659685, 0.7494642176784356, 1
32, 2, 7, 0.5, 1, 3, 0.3351583016100183, 0.746697993395987, 2
32, 2, 7, 0.5, 2, 3, 0.3262805337915541, 0.7510834709169418, 1
32, 2, 7, 0.5, 2, 3, 0.33653077759373373, 0.7537742887985774, 2
32, 2, 7, 0.5, 0, 4, 0.32767980885407294, 0.7495951866903735, 1
32, 2, 7, 0.5, 0, 4, 0.3401943731348048, 0.7504960947421895, 2
32, 2, 7, 0.5, 1, 4, 0.3231715699412977, 0.7535282258064515, 1
32, 2, 7, 0.5, 1, 4, 0.335468554029507, 0.7510358458216915, 2
32, 2, 7, 0.5, 2, 4, 0.3283529087013971, 0.7513970027940055, 1
32, 2, 7, 0.5, 2, 4, 0.339040484038784, 0.7503571882143765, 2
32, 2, 7, 0.5, 0, 5, 0.32737276167266094, 0.7387723837947676, 1
32, 2, 7, 0.5, 0, 5, 0.33949086975037024, 0.7404154495808994, 2
32, 2, 7, 0.5, 1, 5, 0.3223113085638593, 0.7541632270764543, 1
32, 2, 7, 0.5, 1, 5, 0.33530645088510613, 0.75, 2
32, 2, 7, 0.5, 2, 5, 0.32404382834832357, 0.7514287528575058, 1
32, 2, 7, 0.5, 2, 5, 0.33690343541115864, 0.7543815087630178, 2
