Results of consistencyLeiden on graphs generated using GirvanNewmanBenchmark

n_graphs, step_size, k_gen, density, seed, k_cluster, modularity, consistency, iterations
32, 2, 7.0, 0.5, 0, 0.0, 0.3492494919032337, 0.7461622110744222, 2
32, 2, 7.0, 0.5, 0, 0.035673993347252395, 0.3468498304226325, 0.767740347980696, 2
32, 2, 7.0, 0.5, 0, 0.049787068367863944, 0.3460283052811073, 0.778971932943866, 2
32, 2, 7.0, 0.5, 0, 0.06948345122280154, 0.3478827727958054, 0.7799482473964949, 2
32, 2, 7.0, 0.5, 0, 0.09697196786440505, 0.3467547279691659, 0.7870721678943357, 2
32, 2, 7.0, 0.5, 0, 0.1353352832366127, 0.345189460689999, 0.8042727647955297, 2
32, 2, 7.0, 0.5, 0, 0.18887560283756183, 0.3411920600991972, 0.8230965836931673, 2
32, 2, 7.0, 0.5, 0, 0.26359713811572677, 0.3380322000471961, 0.8365943294386587, 2
32, 2, 7.0, 0.5, 0, 0.36787944117144233, 0.3277010011243295, 0.8620261303022605, 2
32, 2, 7.0, 0.5, 0, 0.513417119032592, 0.3188706500185091, 0.8820882016764034, 2
32, 2, 7.0, 0.5, 0, 0.7165313105737893, 0.3054201964334214, 0.9021899606299213, 2
32, 2, 7.0, 0.5, 0, 1.0, 0.2857036171891616, 0.9234347218694436, 2
32, 2, 7.0, 0.5, 0, 1.3956124250860895, 0.2661749192865066, 0.9396391605283211, 2
32, 2, 7.0, 0.5, 0, 1.9477340410546757, 0.2410301440478911, 0.9540140017780034, 2
32, 2, 7.0, 0.5, 0, 2.718281828459045, 0.2111409269171836, 0.9660909321818645, 2
32, 2, 7.0, 0.5, 0, 3.7936678946831774, 0.17217696367724694, 0.9765486093472189, 2
32, 2, 7.0, 0.5, 0, 5.29449005047003, 0.1578610693998124, 0.9798942722885449, 2
32, 4, 7.0, 0.5, 0, 0.0, 0.34739084900675304, 0.7543616649733299, 2
32, 4, 7.0, 0.5, 0, 0.035673993347252395, 0.3450522656284862, 0.7704232283464566, 2
32, 4, 7.0, 0.5, 0, 0.049787068367863944, 0.34657007561221653, 0.7719948564897131, 2
32, 4, 7.0, 0.5, 0, 0.06948345122280154, 0.3447775915841287, 0.7785829946659895, 2
32, 4, 7.0, 0.5, 0, 0.09697196786440505, 0.34357902913922583, 0.8013477901955804, 2
32, 4, 7.0, 0.5, 0, 0.1353352832366127, 0.34269493190268624, 0.8052887668275338, 2
32, 4, 7.0, 0.5, 0, 0.18887560283756183, 0.3387890327305882, 0.8179292608585217, 2
32, 4, 7.0, 0.5, 0, 0.26359713811572677, 0.33265672715178785, 0.8399955549911098, 2
32, 4, 7.0, 0.5, 0, 0.36787944117144233, 0.3301760682600246, 0.8567199009398019, 2
32, 4, 7.0, 0.5, 0, 0.513417119032592, 0.31719475631166566, 0.8813579502159004, 2
32, 4, 7.0, 0.5, 0, 0.7165313105737893, 0.30158097830784314, 0.9046386842773685, 2
32, 4, 7.0, 0.5, 0, 1.0, 0.285520819596067, 0.9225973139446277, 2
32, 4, 7.0, 0.5, 0, 1.3956124250860895, 0.2656544950889922, 0.9390795656591312, 2
